Gene,Env
A4GALT,SNP
AANAT,SNP
AARS,SNP
AARS2,SNP
ABCA1,SNP
ABCA12,SNP
ABCA3,SNP
ABCA4,SNP
ABCA7,SNP
ABCB1,SNP
ABCB4,SNP
ABCB6,SNP
ABCC11,SNP
ABCC2,SNP
ABCC4,SNP
ABCC6,SNP
ABCC8,SNP
ABCC9,SNP
ABCD1,SNP
ABCG2,SNP
ABCG8,SNP
ABL1,SNP
ABO,SNP
ABP1,SNP
ACADM,SNP
ACADVL,SNP
ACAT1,SNP
ACE,SNP
ACKR1,SNP
ACSF3,SNP
ACTA1,SNP
ACTA2,SNP
ACTC1,SNP
ACTG1,SNP
ACTN1,SNP
ACTN3,SNP
ACTN4,SNP
ACVR1,SNP
ACVR1B,SNP
ACVRL1,SNP
ADA,SNP
ADAD1,SNP
ADAM10,SNP
ADAM19,SNP
ADAM33,SNP
ADAMTS1,SNP
ADAMTS12,SNP
ADAMTS13,SNP
ADAMTS2,SNP
ADAMTSL3,SNP
ADAMTSL4,SNP
ADC,SNP
ADCK4,SNP
ADCY2,SNP
ADCY3,SNP
ADCY5,SNP
ADH1B,SNP
ADH1C,SNP
ADH4,SNP
ADIPOQ,SNP
ADIPOR2,SNP
ADK,SNP
ADORA2A,SNP
ADRA1A,SNP
ADRA1B,SNP
ADRA1D,SNP
ADRA2A,SNP
ADRA2B,SNP
ADRA2C,SNP
ADRB1,SNP
ADRB2,SNP
ADRB3,SNP
AFF3,SNP
AFG3L2,SNP
AGAP2,SNP
AGBL1,SNP
AGPS,SNP
AGT,SNP
AGTR1,SNP
AGXT,SNP
AHCY,SNP
AHSG,SNP
AIP,SNP
AIPL1,SNP
AJAP1,SNP
AJUBA,SNP
AK7,SNP
AKAP4,SNP
AKR1D1,SNP
AKT1,SNP
ALAD,SNP
ALB,SNP
ALDH16A1,SNP
ALDH1A3,SNP
ALDH2,SNP
ALDH3A2,SNP
ALDH4A1,SNP
ALDH5A1,SNP
ALDH7A1,SNP
ALDOA,SNP
ALDOB,SNP
ALDOC,SNP
ALG13,SNP
ALOX5AP,SNP
ALPK3,SNP
ALPL,SNP
ALS2,SNP
AMELY,SNP
AMPD1,SNP
ANG,SNP
ANGPTL3,SNP
ANK2,SNP
ANK3,SNP
ANKK1,SNP
ANKRD11,SNP
ANKRD36P1,SNP
ANLN,SNP
ANO5,SNP
ANXA11,SNP
ANXA5,SNP
AOC1,SNP
AP1S1,SNP
AP3B1,SNP
AP3B2,SNP
AP3M1,SNP
AP4E1,SNP
APC,SNP
APEX1,SNP
APEX2,SNP
APLP2,SNP
APOA2,SNP
APOA5,SNP
APOB,SNP
APOC2,SNP
APOC3,SNP
APOE,SNP
APOL1,SNP
APOM,SNP
APP,SNP
APPL2,SNP
AQP1,SNP
AQP4,SNP
AR,SNP
ARAP1,SNP
ARC,SNP
ARG1,SNP
ARHGAP11B,SNP
ARHGAP24,SNP
ARHGDIA,SNP
ARHGEF9,SNP
ARID1B,SNP
ARID5B,SNP
ARL15,SNP
ARMC2,SNP
ARMS2,SNP
ARNT2,SNP
ARNTL,SNP
ARPC1B,SNP
ARSA,SNP
ARSDP1,SNP
ART4,SNP
ARV1,SNP
ARX,SNP
ASAP1,SNP
ASB1,SNP
ASB10,SNP
ASGR1,SNP
ASL,SNP
ASPA,SNP
ASPM,SNP
ASS1,SNP
ASTN2,SNP
ASXL1,SNP
ATF7IP,SNP
ATG16L1,SNP
ATG4D,SNP
ATIC,SNP
ATM,SNP
ATP11A,SNP
ATP13A2,SNP
ATP1A2,SNP
ATP2A1,SNP
ATP2C1,SNP
ATP2C2,SNP
ATP6V0A4,SNP
ATP7A,SNP
ATP7B,SNP
ATP8B4,SNP
ATR,SNP
ATXN1,SNP
ATXN2,SNP
ATXN2L,SNP
AURKA,SNP
AUTS2,SNP
AVP,SNP
AVPR1A,SNP
AVPR1B,SNP
B3GALNT1,SNP
B3GAT2,SNP
B4GALNT3,SNP
BAAT,SNP
BACE1,SNP
BAD,SNP
BAG3,SNP
BAIAP2,SNP
BAK1,SNP
BANF1,SNP
BANK1,SNP
BARD1,SNP
BATF3,SNP
BCAM,SNP
BCAR1,SNP
BCHE,SNP
BCKDHA,SNP
BCKDHB,SNP
BCL2,SNP
BCL2L1,SNP
BCL2L11,SNP
BCL2L2-PABPN1,SNP
BCMO1,SNP
BCOR,SNP
BCORP1,SNP
BCR,SNP
BCS1L,SNP
BDKRB2,SNP
BDNF,SNP
BDP1,SNP
BHLHE41,SNP
BHMT,SNP
BLK,SNP
BLM,SNP
BLOC1S3,SNP
BLOC1S6,SNP
BLZF1,SNP
BMP2,SNP
BMPR1A,SNP
BMPR2,SNP
BMS1,SNP
BNC2,SNP
