id,gene,gene_link,full_name,diseases,diseases_link,no_of_snps
1,A4GALT,https://www.snpedia.com/index.php/A4GALT,"alpha 1,4-galactosyltransferase",A4GALT,http://diseases.jensenlab.org/Search?query=A4GALT,7
2,AANAT,https://www.snpedia.com/index.php/AANAT,aralkylamine N-acetyltransferase,AANAT,http://diseases.jensenlab.org/Search?query=AANAT,4
3,AARS,https://www.snpedia.com/index.php/AARS,null,AARS,http://diseases.jensenlab.org/Search?query=AARS,6
4,AARS2,https://www.snpedia.com/index.php/AARS2,null,AARS2,http://diseases.jensenlab.org/Search?query=AARS2,17
5,ABCA1,https://www.snpedia.com/index.php/ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",ABCA1,http://diseases.jensenlab.org/Search?query=ABCA1,52
6,ABCA12,https://www.snpedia.com/index.php/ABCA12,"ATP-binding cassette, sub-family A (ABC1), member 12",ABCA12,http://diseases.jensenlab.org/Search?query=ABCA12,26
7,ABCA3,https://www.snpedia.com/index.php/ABCA3,null,ABCA3,http://diseases.jensenlab.org/Search?query=ABCA3,16
8,ABCA4,https://www.snpedia.com/index.php/ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4",ABCA4,http://diseases.jensenlab.org/Search?query=ABCA4,286
9,ABCA7,https://www.snpedia.com/index.php/ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",ABCA7,http://diseases.jensenlab.org/Search?query=ABCA7,14
10,ABCB1,https://www.snpedia.com/index.php/ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",ABCB1,http://diseases.jensenlab.org/Search?query=ABCB1,46
11,ABCB4,https://www.snpedia.com/index.php/ABCB4,ATP binding cassette subfamily B member 4,ABCB4,http://diseases.jensenlab.org/Search?query=ABCB4,28
12,ABCB6,https://www.snpedia.com/index.php/ABCB6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ABCB6,http://diseases.jensenlab.org/Search?query=ABCB6,13
13,ABCC11,https://www.snpedia.com/index.php/ABCC11,null,ABCC11,http://diseases.jensenlab.org/Search?query=ABCC11,2
14,ABCC2,https://www.snpedia.com/index.php/ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",ABCC2,http://diseases.jensenlab.org/Search?query=ABCC2,27
15,ABCC4,https://www.snpedia.com/index.php/ABCC4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4,http://diseases.jensenlab.org/Search?query=ABCC4,12
16,ABCC6,https://www.snpedia.com/index.php/ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6,http://diseases.jensenlab.org/Search?query=ABCC6,199
17,ABCC8,https://www.snpedia.com/index.php/ABCC8,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",ABCC8,http://diseases.jensenlab.org/Search?query=ABCC8,109
18,ABCC9,https://www.snpedia.com/index.php/ABCC9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9,http://diseases.jensenlab.org/Search?query=ABCC9,31
19,ABCD1,https://www.snpedia.com/index.php/ABCD1,null,ABCD1,http://diseases.jensenlab.org/Search?query=ABCD1,89
20,ABCG2,https://www.snpedia.com/index.php/ABCG2,"ATP-binding cassette, sub-family G (WHITE), member 2",ABCG2,http://diseases.jensenlab.org/Search?query=ABCG2,20
